Bus,busmap
0,AL02
1,AL02
2,AL01
3,AL01
4,AL01
5,AL01
6,AL01
7,AL01
8,AL03
9,AL01
10,AL01
11,AL02
12,AL02
13,AL02
14,AT33
15,AT12
16,AT12
17,AT12
18,AT33
19,AT13
20,AT13
21,AT13
22,AT31
23,AT31
24,AT13
25,AT13
26,AT12
27,AT33
28,AT12
29,AT32
30,AT12
31,AT32
32,AT32
33,AT12
34,AT31
35,AT12
36,AT12
37,AT34
38,AT34
39,DE22
40,DE22
41,AT11
42,AT11
43,AT12
44,AT34
45,AT22
46,AT22
47,AT21
48,AT21
49,AT21
50,AT33
51,AT21
52,AT21
53,AT22
54,AT22
55,AT22
56,AT31
57,AT31
58,AT31
59,AT33
60,AT12
61,AT12
62,AT12
63,AT33
64,AT34
65,AT34
66,AT32
67,AT32
68,AT12
69,AT34
70,AT33
71,AT33
72,AT33
73,AT31
74,AT33
75,AT33
76,AT11
77,AT11
78,AT21
79,AT31
80,AT34
81,AT32
82,AT33
83,AT21
84,AT33
85,AT33
86,AT33
87,AT34
88,AT33
89,AT33
91,BASRP
92,BABIH
93,BABIH
94,BABIH
95,BASRP
96,BASRP
97,BASRP
98,BABIH
99,BABIH
100,BABIH
101,BABIH
102,BE21
103,BE23
104,BE33
105,BE33
106,BE23
107,BE24
108,BE24
109,BE24
110,BE33
111,BE21
112,BE34
113,BE25
114,BE25
115,BE32
116,BE23
117,BE33
118,BE23
119,BE21
120,BE35
121,BE33
122,BE33
123,BE35
124,BE33
125,BE34
126,BE34
127,BE34
128,BE25
129,BE32
130,BE32
131,BE34
132,BE34
133,BE34
134,BE34
135,BE34
136,BE34
137,BE22
138,BE34
139,BE25
140,BE25
141,BE25
142,BE22
143,BE25
144,BE23
145,BG41
146,BG41
147,BG41
148,BG41
149,BG41
150,BG41
151,BG41
152,BG42
153,BG42
154,BG32
155,BG32
156,BG33
157,BG33
158,BG41
159,BG31
160,BG31
161,BG34
162,BG34
163,BG41
164,BG34
165,BG31
166,BG31
167,BG32
168,BG41
169,BG31
170,BG31
171,BG41
172,BG42
173,BG42
175,BG34
176,BG34
177,BG33
